StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Age,Sex,Race,Q11,Q9,Q10,Q12,Q28,Q13,Q15,Q19,Q18,Q16,Q20_1,Q17,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q21,Q22,Q23,Q24,Q25,Q26
7/2/2023 15:33,7/2/2023 15:37,IP Address,73.171.63.183,100,196,TRUE,7/2/2023 15:37,R_Y3ygAMbN0scClUd,,,,,38.0321,-78.489,anonymous,EN,6134e3d48d0eaa5c8fe8c25e,36,Female,White,Graduated from a four-year college,Not employed,"$70,000 - $100,000",Democratic/Lean Democratic,Not religious,No,3,4,1,3,2,2,,,,,,,,4,5,3,2,6,1,2,1,1,1,1,1,1
7/2/2023 15:35,7/2/2023 15:39,IP Address,99.51.72.39,100,260,TRUE,7/2/2023 15:39,R_2t5ugeHxq5xdzyc,,,,,37.5337,-122.0289,anonymous,EN,5e5ca080bb37ff47b09dd4cc,28,Female,Asian,Graduated from a four-year college,Employed (full or part-time),"More than $100,000",Independents/Others,Not religious,No,3,4,4,5,4,1,,,,,,,,,,,,,,1,1,1,1,1,1,1
7/2/2023 15:35,7/2/2023 15:40,IP Address,73.174.41.243,100,297,TRUE,7/2/2023 15:40,R_2httUz5vG51gKEF,,,,,40.9958,-80.3264,anonymous,EN,5b93ef45191b3c0001652677,DATAEXPIRED,Female,White,Some college (including two-year college),Not employed,"$70,000 - $100,000",Democratic/Lean Democratic,Prefer not to say,No,2,3,1,3,2,1,,,,,,,,,,,,,,1,1,1,1,1,1,1
7/2/2023 15:38,7/2/2023 15:41,IP Address,174.171.45.67,100,156,TRUE,7/2/2023 15:41,R_1HivcHttvGVxDmH,,,,,29.5183,-95.0977,anonymous,EN,607d9b4a31b7f0e217217722,39,Male,White,Graduated from a four-year college,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Not religious,No,2,4,1,4,4,2,,,,,,,,3,2,5,1,6,4,2,1,1,1,1,1,1
7/2/2023 15:38,7/2/2023 15:41,IP Address,108.207.58.153,100,184,TRUE,7/2/2023 15:41,R_ZC3Xm1tEiKuG1Wx,,,,,42.7606,-84.5563,anonymous,EN,629ff307031e3b1f06456e78,29,Male,White,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,Yes,3,3,2,2,2,2,,,,,,,,1,5,6,2,3,4,1,1,1,1,1,1,1
7/2/2023 15:37,7/2/2023 15:41,IP Address,24.250.209.251,100,251,TRUE,7/2/2023 15:41,R_3qlzu9ZYLKGIvw5,,,,,29.1657,-82.1273,anonymous,EN,63c18301a31679d3e3e39101,54,Female,White,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,3,4,5,4,2,2,,,,,,,,4,5,6,2,3,1,2,1,1,1,1,1,0
7/2/2023 15:37,7/2/2023 15:42,IP Address,67.8.119.121,100,262,TRUE,7/2/2023 15:42,R_dhCZLL2HHvPvruV,,,,,28.7935,-81.2868,anonymous,EN,5cd50ea807cf630017c91408,25,Male,Asian,Some college (including two-year college),Not employed,"$30,000 - $70,000",Independents/Others,Not religious,No,3,4,1,2,2,2,,,,,,,,4,6,5,1,2,3,2,1,1,1,1,1,1
7/2/2023 15:38,7/2/2023 15:42,IP Address,108.21.227.180,100,266,TRUE,7/2/2023 15:42,R_d6e7jJVZrXLBdUl,,,,,40.6673,-73.4593,anonymous,EN,61017e76a0494146f7fdff65,37,Female,White,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Not religious,No,2,4,1,2,2,2,,,,,,,,1,6,5,3,4,2,2,1,1,1,1,1,1
7/2/2023 15:41,7/2/2023 15:43,IP Address,68.194.82.131,100,130,TRUE,7/2/2023 15:43,R_8ijEZ45saEK5TTr,,,,,40.6739,-73.9358,anonymous,EN,632890876b6124c7a15d06f6,28,Female,Asian,Postgraduate,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Hindu,No,2,3,1,4,4,1,,,,,,,,,,,,,,2,1,1,1,1,1,1
7/2/2023 15:41,7/2/2023 15:45,IP Address,166.199.98.43,100,215,TRUE,7/2/2023 15:45,R_1pS5yWfdWWnrTn6,,,,,40.7123,-74.0068,anonymous,EN,6110c3b51c8b97bc69979282,21,Female,White,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,2,3,1,4,4,3,1,7,4,2,3,6,5,,,,,,,1,1,1,0,1,1,1
7/2/2023 15:42,7/2/2023 15:45,IP Address,24.128.78.124,100,201,TRUE,7/2/2023 15:46,R_29sRXDakNUReDnj,,,,,38.8503,-104.8567,anonymous,EN,5e11882114ae638303c715d9,41,Male,White,Postgraduate,Employed (full or part-time),"More than $100,000",Republican/Lean Republican,Christianity,Yes,3,4,1,3,2,2,,,,,,,,4,3,6,2,5,1,3,1,1,1,1,1,1
7/2/2023 15:45,7/2/2023 15:47,IP Address,172.222.144.137,100,137,TRUE,7/2/2023 15:48,R_1Qa55CeF535njsi,,,,,34.066,-117.8928,anonymous,EN,5f888877136ad50208b48b47,30,Male,Asian,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Buddhism,Yes,2,2,2,4,4,2,,,,,,,,5,4,2,1,6,3,3,0,0,1,1,0,0
7/2/2023 15:47,7/2/2023 15:49,IP Address,172.56.169.215,100,148,TRUE,7/2/2023 15:49,R_2QF0UAouqzz2cEM,,,,,38.581,-121.4939,anonymous,EN,631e023b74860145f8fd4840,33,Male,White,Postgraduate,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Not religious,No,2,4,1,4,4,1,,,,,,,,,,,,,,1,1,1,1,1,1,1
7/2/2023 15:45,7/2/2023 15:52,IP Address,76.188.87.226,100,389,TRUE,7/2/2023 15:52,R_2DTw9O4JU9BAnG6,,,,,42.0753,-80.0671,anonymous,EN,5c4d5328889752000156a11d,51,Male,White,Graduated from a four-year college,Employed (full or part-time),"$70,000 - $100,000",Democratic/Lean Democratic,Not religious,No,3,4,0,4,2,2,,,,,,,,5,4,6,3,1,2,2,1,1,1,1,1,1
7/2/2023 15:46,7/2/2023 15:53,IP Address,174.198.7.174,100,386,TRUE,7/2/2023 15:53,R_22EA3GQK56y5Yuf,,,,,39.952,-75.1814,anonymous,EN,647e55e4edabdd63e800d717,52,Female,White,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Not religious,No,3,4,3,5,5,3,3,7,2,5,6,1,4,,,,,,,3,1,1,1,1,1,1
